year,fuel,price
1990,Coal,1.455
1991,Coal,1.447
1992,Coal,1.412
1993,Coal,1.385
1994,Coal,1.355
1995,Coal,1.318
1996,Coal,1.289
1997,Coal,1.273
1998,Coal,1.252
1999,Coal,1.216
2000,Coal,1.2
2001,Coal,1.232
2002,Coal,1.25
2003,Coal,1.28
2004,Coal,1.36
2005,Coal,1.54
2006,Coal,1.69
2007,Coal,1.77
2008,Coal,2.07
2009,Coal,2.21
2010,Coal,2.27
2011,Coal,2.39
2012,Coal,2.38
2013,Coal,2.34
2014,Coal,2.37
2015,Coal,2.22
2016,Coal,2.11
2017,Coal,2.06
2018,Coal,2.06
2019,Coal,2.02
2020,Coal,1.92
2021,Coal,1.98
2022,Coal,2.36
2023,Coal,2.51
2024,Coal,2.47
1990,Petroleum,3.353
1991,Petroleum,2.527
1992,Petroleum,2.514
1993,Petroleum,2.373
1994,Petroleum,2.423
1995,Petroleum,2.566
1996,Petroleum,3.026
1997,Petroleum,2.73
1998,Petroleum,2.021
1999,Petroleum,2.359
2000,Petroleum,4.179
2001,Petroleum,3.693
2002,Petroleum,3.34
2003,Petroleum,4.33
2004,Petroleum,4.29
2005,Petroleum,6.44
2006,Petroleum,6.23
2007,Petroleum,7.17
2008,Petroleum,10.87
2009,Petroleum,7.02
2010,Petroleum,9.54
2011,Petroleum,12.48
2012,Petroleum,12.48
2013,Petroleum,11.57
2014,Petroleum,11.6
2015,Petroleum,6.74
2016,Petroleum,5.24
2017,Petroleum,7.1
2018,Petroleum,9.68
2019,Petroleum,9.07
2020,Petroleum,5.98
2021,Petroleum,10.08
2022,Petroleum,16.53
2023,Petroleum,15.98
2024,Petroleum,14.7
1990,Natural Gas,2.321
1991,Natural Gas,2.153
1992,Natural Gas,2.328
1993,Natural Gas,2.56
1994,Natural Gas,2.23
1995,Natural Gas,1.984
1996,Natural Gas,2.641
1997,Natural Gas,2.76
1998,Natural Gas,2.381
1999,Natural Gas,2.574
2000,Natural Gas,4.302
2001,Natural Gas,4.487
2002,Natural Gas,3.56
2003,Natural Gas,5.39
2004,Natural Gas,5.96
2005,Natural Gas,8.21
2006,Natural Gas,6.94
2007,Natural Gas,7.11
2008,Natural Gas,9.01
2009,Natural Gas,4.74
2010,Natural Gas,5.09
2011,Natural Gas,4.72
2012,Natural Gas,3.42
2013,Natural Gas,4.33
2014,Natural Gas,5
2015,Natural Gas,3.23
2016,Natural Gas,2.87
2017,Natural Gas,3.37
2018,Natural Gas,3.55
2019,Natural Gas,2.89
2020,Natural Gas,2.4
2021,Natural Gas,5.2
2022,Natural Gas,7.21
2023,Natural Gas,3.36
2024,Natural Gas,2.76
